pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate gene_count ds recomb_rate.gene_count recomb_rate.ds gene_count.ds recomb_rate.gene_count.ds group
constance stream cl white allo D -4.06901012998662 0.101019082368463 -0.0245661511138777 -1.60249280267198 -0.00438391956451493 0.064401912391494 0.075069972067103 -0.0623799288892604 allo_D
constance stream cp marine allo D -4.9043579583386 0.0190930275168059 0.101412613407033 1.21990827538805 0.0160705391654244 0.327749074150219 -0.231793621230762 -0.233630583613372 allo_D
constance stream geneva lake allo D -5.15475310121757 0.159448178621326 -0.339192604779502 2.91033923681471 0.0145272014632274 -0.998468927257677 -0.0291726136834972 0.0970674327491151 allo_D
constance stream geneva stream allo S -6.47957848000739 0.352796829760184 0.0151808103998751 4.7631995024313 -0.0191831785939185 -1.23064426212846 -0.586757197603737 0.134253890386891 allo_S
constance stream joes lake allo D -5.38703614402647 -0.245098974415232 0.273666724174849 1.29471950411635 0.00592278346653064 0.287372336201998 -0.922669215444664 0.00498862883718114 allo_D
constance stream joes stream allo S -6.36555196704181 -0.133517600797545 0.379772612708122 1.90556150148125 0.000943590941589823 0.251482882600598 -1.00726774581781 -0.0294053436923885 allo_S
constance stream ln marine allo D -4.43532085142991 0.1580207965288 0.0730381069840422 0.735176403320057 -0.0279230947051568 -0.208192207235859 -0.361749814621321 -0.046291123255758 allo_D
constance stream mh marine allo D -5.45957991536142 0.20315331114374 0.252906607135672 0.0232861016813162 -0.0285982608516856 0.198812562817376 -0.00461888632286499 -0.148698346728789 allo_D
constance stream mh white allo D -5.22075922078794 0.199010644080809 0.307276179126146 -1.85548736991776 -0.0583895459055423 -0.00969795950799224 -0.0888802693490465 -0.0740260077710794 allo_D
constance stream misty lake allo D -3.77029422489024 -0.0355532319173122 0.0284253561998726 -0.772454315756752 -0.187108886535069 -0.242465945224499 0.0467538253165905 0.181665337490024 allo_D
constance stream misty stream allo S -3.71943074332553 -0.290675937525346 -0.326081289122059 -2.00633206370767 0.0460997726096901 0.366556662949544 1.13303153583398 -0.272646367439967 allo_S
constance stream roberts lake allo D -3.84051300374019 -0.470432370266473 0.0288837967356889 -2.41920066716339 0.0187775622718989 1.10246171185942 0.122468487490132 -0.124697889609113 allo_D
