pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate gene_count ds group
geneva lake cl white allo D -3.33717615045815 0.016701872237268 -0.156242289137275 -0.558168824451357 allo_D
geneva lake cp marine allo D -3.09393841094437 0.000397941755459725 -0.145283849467763 -1.07731640424083 allo_D
geneva lake geneva stream para D -3.14824159850659 -0.20806980185408 -0.0263938482096132 -1.66379232733285 para_D
geneva lake joes lake allo S -5.98055972597273 -0.124313244851457 0.199558718857131 -0.226138541382151 allo_S
geneva lake joes stream allo D -7.69061402796467 -0.0748923999655279 0.224441141648437 0.880236979738262 allo_D
geneva lake ln marine allo D -3.52036100905728 0.00764734624763041 -0.19700999712595 -0.311197391759169 allo_D
geneva lake mh marine allo D -5.34909125283522 0.000381149911734895 -0.00076964567626436 1.01770654356086 allo_D
geneva lake mh white allo D -6.54389546791128 -0.395084457389692 0.168820267608208 1.62126011740563 allo_D
geneva lake misty lake allo S -2.26962397909764 -1.85184782626175 0.14933966660113 -2.00923011710147 allo_S
geneva lake misty stream allo D -3.64429496528793 -1.36482116588734 0.0506379558073851 -0.318595863368079 allo_D
geneva lake roberts lake allo S -3.99214915712777 -0.150213516409523 0.0120755453121373 -0.348155976542967 allo_S
geneva lake roberts stream allo D -3.93064540888013 -0.793320254709375 0.212711698751047 -1.1922832366687 allo_D
geneva lake sk marine allo D -4.80290885087256 0.0138984288674968 -0.107057423566953 0.606809421478201 allo_D
geneva lake sr marine allo D -4.25144139119771 0.000876076309244491 -0.0784230399437591 0.221219863945182 allo_D
geneva lake sr white allo D -3.08898815566279 0.016351076526778 -0.293085386251867 -0.451577147869879 allo_D
geneva stream al marine allo D -3.18393682368072 0.0150369911127827 -0.186804702021145 -0.669976352520039 allo_D
geneva stream cl marine allo D -5.66091568511583 -0.00865971700831372 -0.00960453887447917 1.50815913349982 allo_D
geneva stream cl white allo D -3.14481589025018 0.0134059731047254 -0.120566280875628 -0.803322528807751 allo_D
geneva stream cp marine allo D -3.1141613281164 -0.0026649040526833 -0.123092784973464 -1.13938658631688 allo_D
geneva stream joes lake allo D -5.31448191439081 -0.027600664602845 0.136214386446106 -0.480331482909808 allo_D
geneva stream joes stream allo S -6.65818961990847 -0.0567644460294685 0.0923229841701048 0.762845366205614 allo_S
